127.0.0.1 - - [23/Mar/2015:16:25:35 -0400] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET / HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET /assets/bootstrap/2.2.2/js/bootstrap.min.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET /assets/jquery/1.8.2/jquery.min.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET /assets/bootstrap/2.2.2/css/bootstrap.min.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET /security-error HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET /security-error HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET / HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:19 -0400] "GET / HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:26 -0400] "POST /create HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET / HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET /assets/jquery/1.8.2/jquery.min.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET /assets/bootstrap/2.2.2/css/bootstrap.min.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET /assets/bootstrap/2.2.2/js/bootstrap.min.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET /security-error HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET /security-error HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET / HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:35 -0400] "GET / HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [23/Mar/2015:16:26:50 -0400] "POST /create HTTP/1.1" 200 1603
